Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,getStatusMsg,15,5,0
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,applyTo,4,1,2
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,getExecutableSet,10,3,1
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,88,17,3
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassemblySeeds,11,3,3
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,analyzeIfNeeded,14,4,4
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,getDisassembledAddressSet,3,1,0
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,MyListener,3,1,1
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,disassembleMessageReported,5,2,1
cmd,ghidra.app.cmd.disassemble,MyListener,MyListener,3,1,1
cmd,ghidra.app.cmd.disassemble,MyListener,disassembleMessageReported,5,2,1
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,Hcs12DisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,Hcs12DisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,setSeedContext,3,1,1
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,setInitialContext,3,1,1
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,applyTo,50,10,2
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,MipsDisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,MipsDisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,getName,3,1,0
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,setSeedContext,3,1,1
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,setInitialContext,3,1,1
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,applyTo,50,10,2
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,PowerPCDisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,PowerPCDisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,getName,3,1,0
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,setSeedContext,3,1,1
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,setInitialContext,3,1,1
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,applyTo,50,10,2
cmd,ghidra.app.cmd.disassemble,SetFlowOverrideCmd,SetFlowOverrideCmd,3,1,2
cmd,ghidra.app.cmd.disassemble,SetFlowOverrideCmd,SetFlowOverrideCmd,3,1,2
cmd,ghidra.app.cmd.disassemble,SetFlowOverrideCmd,SetFlowOverrideCmd,6,1,3
cmd,ghidra.app.cmd.disassemble,SetFlowOverrideCmd,applyTo,24,6,2
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,X86_64DisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,X86_64DisassembleCommand,4,1,3
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,getName,3,1,0
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,setSeedContext,3,1,1
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,setInitialContext,3,1,1
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,alignSet,20,5,2
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,applyTo,30,5,2
cmd,ghidra.app.cmd.equate,ClearEquateCmd,ClearEquateCmd,5,1,3
cmd,ghidra.app.cmd.equate,ClearEquateCmd,getName,3,1,0
cmd,ghidra.app.cmd.equate,ClearEquateCmd,applyTo,6,1,1
cmd,ghidra.app.cmd.equate,ClearEquateCmd,clearEquate,11,3,2
cmd,ghidra.app.cmd.equate,ClearEquateCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.equate,SetEquateCmd,SetEquateCmd,6,1,4
cmd,ghidra.app.cmd.equate,SetEquateCmd,getName,3,1,0
cmd,ghidra.app.cmd.equate,SetEquateCmd,applyTo,23,3,1
cmd,ghidra.app.cmd.equate,SetEquateCmd,existsWithDifferentValue,3,1,1
cmd,ghidra.app.cmd.equate,SetEquateCmd,getEquate,3,1,0
cmd,ghidra.app.cmd.equate,SetEquateCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,AppleSingleDoubleBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,analysisWorkerCallback,35,4,3
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,canApply,12,2,1
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markup,24,3,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupCFM,26,4,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceMap,8,1,3
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupReferenceListEntry,22,4,4
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,hack,3,1,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceType,7,1,3
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceNameList,12,3,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceData,16,3,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,createModule,9,1,1
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,findGroup,12,4,2
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,removeEmptyFragments,22,7,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,CoffArchiveBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,analysisWorkerCallback,10,2,3
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,canApply,12,1,1
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,removeEmptyFragments,22,7,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,applyDataTypes,7,1,2
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,markupLongNamesMember,10,2,1
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,markupSecondLinkerMember,10,2,1
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,markupFirstLinkerMember,10,2,1
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,markupArchiveMemberHeader,19,4,2
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,markupArchiveHeader,5,1,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,CoffBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,canApply,14,2,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,analysisWorkerCallback,11,2,3
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,removeEmptyFragments,22,7,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,applyDataTypes,7,1,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processOptionalHeader,10,2,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processStrings,16,3,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processSymbols,25,4,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processSectionHeaders,23,4,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processSectionLineNumbers,19,4,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processSectionRelocations,20,4,1
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processFileHeader,6,1,1
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,ElfBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,canApply,16,2,1
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,analysisWorkerCallback,23,1,3
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processElfHeader,6,1,2
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processStrings,31,5,1
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSectionHeaders,26,3,2
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processProgramHeaders,20,3,2
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processInterpretor,19,3,3
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processDynamic,43,7,3
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,addDynamicStringComment,9,3,5
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,addDynamicReference,14,2,4
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSymbolTables,33,5,3
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,addr,3,1,1
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processRelocationTables,25,4,2
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,MachoBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,MachoBinaryAnalysisCommand,3,1,2
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,MachoBinaryAnalysisCommand,6,1,3
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,canApply,16,2,1
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,getAddress,3,1,1
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,analysisWorkerCallback,28,3,3
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,applyTo,8,2,2
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,setHeaderComment,18,2,2
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,PefBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,canApply,10,1,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,analysisWorkerCallback,19,1,3
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processSections,16,3,2
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processSectionData,15,4,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaders,13,1,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderExports,39,8,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderStringTable,25,4,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderRelocations,16,3,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processRelocation,14,3,2
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processImportedSymbols,18,3,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processImportLibraries,16,3,1
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,addr,3,1,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,PortableExecutableBinaryAnalysisCommand,3,1,0
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,canApply,15,2,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,analysisWorkerCallback,16,3,3
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,getWorkerName,3,1,0
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,applyTo,5,1,2
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,getName,3,1,0
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,getMessages,3,1,0
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,createDataTypes,13,2,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processSymbols,19,4,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processStringTable,17,3,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processDOSHeader,6,1,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processNTHeader,8,1,2
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processDataDirectories,16,4,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processSections,19,3,1
cmd,ghidra.app.cmd.function,AddFunctionTagCmd,AddFunctionTagCmd,4,1,2
cmd,ghidra.app.cmd.function,AddFunctionTagCmd,applyTo,10,2,1
cmd,ghidra.app.cmd.function,AddFunctionTagCmd,getStatusMsg,3,1,0
