Project Name,Package Name,Type Name,Code Smell
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,TestConfig,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,EnableDubboTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.provider,DefaultHelloService,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.provider,HelloServiceImpl,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.filter,MockDao,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.filter,MockDaoImpl,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.filter,MockDaoImpl,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.filter,MockFilter,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.echo,EchoServiceTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.filter,FilterTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.filter,LegacyInvocation,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.filter,LegacyInvoker,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.filter,MyFilter,Deficient Encapsulation
dubbo-compatible,org.apache.dubbo.generic,GenericServiceTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing,AnnotationProcessingTestProcessor,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing,CompilerInvocationInterceptor,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,ArrayTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,CollectionTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,EnumTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,GeneralTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,MapTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.builder,SimpleTypeDefinitionBuilderTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,ArrayTypeModel,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,ArrayTypeModel,Broken Modularization
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,CollectionTypeModel,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,CollectionTypeModel,Broken Modularization
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,MapTypeModel,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,MapTypeModel,Broken Modularization
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,PrimitiveTypeModel,Multifaceted Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.model,SimpleTypeModel,Insufficient Modularization
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.rest,AnnotatedMethodParameterProcessorTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,AnnotationUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,FieldUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,LoggerUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,MemberUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,MethodUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,ServiceAnnotationUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.annotation.processing.util,TypeUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,Ancestor,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,CompilerTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,DefaultRestServiceTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,GenericTestService,Multipath Hierarchy
dubbo-compatible,org.apache.dubbo.metadata.tools,Parent,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,Parent,Broken Hierarchy
dubbo-compatible,org.apache.dubbo.metadata.tools,RestServiceTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,SpringRestServiceTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.metadata.tools,StandardRestServiceTest,Unutilized Abstraction
