file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\providers\MmsBodyProvider.java,org.thoughtcrime.securesms.providers.MmsBodyProvider$Pointer,innerclass,2,2,0,2,5,1,0,4,0,0.1,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,20,3,0,0,0,0,1,0,2,0,2,0,0,0,0,14,9,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\libsignal-service\src\main\java\org\whispersystems\signalservice\api\groupsv2\UuidProfileKey.java,org.whispersystems.signalservice.api.groupsv2.UuidProfileKey,class,1,1,0,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\image-editor\lib\src\main\java\org\signal\imageeditor\core\renderers\InverseFillRenderer.java,org.signal.imageeditor.core.renderers.InverseFillRenderer,class,11,14,3,11,6,1,0,13,9,0.7083333,0.3,0.3,6,0,5,1,0,0,5,0,0,0,4,1,1,3,0,0,4,0,1,40,2,0,0,0,0,0,3,4,0,4,0,1,0,0,35,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\sharing\ShareSelectionMappingModel.java,org.thoughtcrime.securesms.sharing.ShareSelectionMappingModel,class,6,9,3,6,7,1,0,9,0,0.25,0.8333333,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,1,0,0,0,0,3,0,4,0,0,0,1,21,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\mediasend\Media.java,org.thoughtcrime.securesms.mediasend.Media$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\profiles\manage\EditAboutFragment.java,org.thoughtcrime.securesms.profiles.manage.EditAboutFragment$AboutPreset,innerclass,2,2,0,2,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,26,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\signal\glide\apng\decode\Chunk.java,org.signal.glide.apng.decode.Chunk,class,3,13,10,3,7,1,6,6,1,0.75,0.33333334,0.33333334,3,1,0,0,0,3,3,0,0,0,4,0,0,0,0,4,0,0,0,25,2,0,1,0,4,1,13,2,5,6,1,0,0,0,33,0,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\reactions\any\ReactWithAnyEmojiRepository.java,org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiRepository,class,10,14,4,10,7,1,0,32,0,0.4166667,1.0,1.0,3,0,0,0,0,3,3,0,0,0,4,1,0,4,0,0,4,0,2,37,1,0,2,0,0,0,0,7,0,10,2,0,0,5,38,16,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\migrations\StorageServiceSystemNameMigrationJob.java,org.thoughtcrime.securesms.migrations.StorageServiceSystemNameMigrationJob,class,3,5,2,3,6,3,0,4,15,0.8333333,0.0,0.0,6,0,3,1,0,2,5,0,0,0,1,1,1,0,0,0,1,0,0,27,3,0,0,0,0,1,0,1,0,1,0,0,1,0,42,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\components\DocumentView.java,org.thoughtcrime.securesms.components.DocumentView,class,21,22,1,21,20,2,0,36,27,0.8181818,0.25454545,0.38181818,11,0,11,0,0,0,11,0,0,0,12,1,0,12,0,0,9,0,0,110,0,0,3,0,1,1,3,16,1,16,2,0,2,0,71,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\service\webrtc\WebRtcData.java,org.thoughtcrime.securesms.service.webrtc.WebRtcData$CallMetadata,innerclass,4,4,0,4,4,1,0,1,0,0.375,0.6666667,1.0,4,0,1,0,0,3,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,14,9,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\contactshare\ContactShareEditViewModel.java,org.thoughtcrime.securesms.contactshare.ContactShareEditViewModel,class,14,17,3,14,13,3,0,22,5,0.61904764,0.5,0.6,7,0,0,2,0,5,5,0,0,0,3,0,0,3,0,0,3,0,0,63,6,1,2,0,0,0,0,9,0,10,2,0,2,1,39,0,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\groups\ui\GroupErrors.java,org.thoughtcrime.securesms.groups.ui.GroupErrors,class,3,4,1,3,9,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,1,0,0,0,0,0,0,0,1,0,0,0,11,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\PaymentSendJob.java,org.thoughtcrime.securesms.jobs.PaymentSendJob$Factory,innerclass,7,7,0,7,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,27,25,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\keyvalue\SignalStore.java,org.thoughtcrime.securesms.keyvalue.SignalStore,class,34,93,59,34,40,1,0,69,561,0.91742307,0.057142857,0.23361345,38,37,35,3,0,0,35,0,0,0,29,1,0,29,0,0,27,0,84,229,32,0,2,0,0,0,0,31,0,30,3,0,0,0,151,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\migrations\LegacyMigrationJob.java,org.thoughtcrime.securesms.migrations.LegacyMigrationJob$Factory,innerclass,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\payments\backup\confirm\PaymentsRecoveryPhraseConfirmFragment.java,org.thoughtcrime.securesms.payments.backup.confirm.PaymentsRecoveryPhraseConfirmFragment,class,16,17,1,16,8,2,0,47,0,0.6,0.0,0.0,4,0,2,2,0,0,2,0,0,0,5,3,2,3,0,0,3,0,0,75,0,0,1,0,0,2,3,17,2,23,2,0,0,6,93,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\components\ComposeText.java,org.thoughtcrime.securesms.components.ComposeText$QueryStart,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,10,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\libsignal-service\src\main\java\org\whispersystems\signalservice\api\push\exceptions\CaptchaRequiredException.java,org.whispersystems.signalservice.api.push.exceptions.CaptchaRequiredException,class,1,1,0,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\libsignal-service\src\main\java\org\whispersystems\signalservice\api\messages\multidevice\SentTranscriptMessage.java,org.whispersystems.signalservice.api.messages.multidevice.SentTranscriptMessage,class,6,8,2,6,11,1,0,2,35,0.8181819,0.18181819,1.0,11,0,11,0,0,0,11,0,0,0,10,0,0,10,0,0,10,0,0,54,10,0,0,0,0,0,0,10,0,10,0,0,0,0,30,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\core-util-jvm\src\main\java\org\signal\core\util\Bitmask.java,org.signal.core.util.Bitmask,class,1,3,2,1,17,1,0,5,15,0.0,0.0,0.0,6,6,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,35,5,0,0,0,2,6,15,7,13,7,1,0,0,0,80,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\AttachmentMarkUploadedJob.java,org.thoughtcrime.securesms.jobs.AttachmentMarkUploadedJob,class,13,15,2,13,8,5,0,13,9,0.75510204,0.2,0.2,7,0,5,1,1,0,6,0,0,0,7,5,1,6,0,0,7,0,0,47,3,0,1,0,0,6,1,9,0,9,1,0,2,0,50,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\stickers\StickerPreviewPopup.java,org.thoughtcrime.securesms.stickers.StickerPreviewPopup,class,7,8,1,7,2,2,0,10,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,29,16,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\jobmanager\JobMigration.java,org.thoughtcrime.securesms.jobmanager.JobMigration$JobData,innerclass,4,4,0,4,7,1,0,0,0,0.42857143,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,0,28,6,0,0,0,0,0,0,3,0,3,0,0,0,0,11,9,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\test\java\org\thoughtcrime\securesms\testutil\TestHelpers.java,org.thoughtcrime.securesms.testutil.TestHelpers,class,7,10,3,7,11,1,0,13,45,0.0,0.0,0.0,10,9,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,52,7,1,0,0,0,0,2,6,1,6,1,2,0,0,29,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\components\registration\PulsingFloatingActionButton.java,org.thoughtcrime.securesms.components.registration.PulsingFloatingActionButton$Anonymous1,anonymous,2,2,0,2,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,1,0,0,9,-1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\util\FeatureFlags.java,org.thoughtcrime.securesms.util.FeatureFlags$UpdateResult,innerclass,3,3,0,3,4,1,0,0,0,0.5,0.5,1.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,8,24,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\libsignal-service\src\main\java\org\whispersystems\signalservice\api\crypto\InvalidCiphertextException.java,org.whispersystems.signalservice.api.crypto.InvalidCiphertextException,class,0,3,3,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\test\java\org\thoughtcrime\securesms\util\dynamiclanguage\LocaleParserTest.java,org.thoughtcrime.securesms.util.dynamiclanguage.LocaleParserTest,class,7,8,1,7,6,1,0,8,10,0.0,0.0,0.0,5,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,24,2,1,0,0,0,5,0,4,0,4,1,0,0,0,43,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\crypto\IdentityKeyUtil.java,org.thoughtcrime.securesms.crypto.IdentityKeyUtil,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\video\ModernEncryptedMediaDataSource.java,org.thoughtcrime.securesms.video.ModernEncryptedMediaDataSource,class,7,9,2,7,10,2,0,3,2,0.55,0.5,0.5,5,0,3,1,0,1,4,0,0,0,4,0,0,4,0,0,4,0,0,48,7,1,3,1,0,0,7,10,0,7,4,0,0,0,51,16,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\ContactSelectionListFragment.java,org.thoughtcrime.securesms.ContactSelectionListFragment$ListClickListener,innerclass,11,11,0,11,19,1,0,44,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,83,6,0,6,1,2,1,0,6,0,11,7,0,0,5,48,2,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\giph\ui\GiphyActivityToolbar.java,org.thoughtcrime.securesms.giph.ui.GiphyActivityToolbar,class,14,16,2,14,9,2,0,20,18,0.775,0.13333334,0.2,8,0,6,2,0,0,6,0,0,0,5,0,0,5,0,0,0,0,0,94,0,0,1,0,0,1,1,11,0,7,1,3,2,1,55,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\stickers\StickerManagementItemTouchHelper.java,org.thoughtcrime.securesms.stickers.StickerManagementItemTouchHelper$Callback,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\conversation\AttachmentKeyboard.java,org.thoughtcrime.securesms.conversation.AttachmentKeyboard,class,18,19,1,18,17,2,0,29,33,0.7875,0.055555556,0.055555556,10,0,9,1,0,0,9,0,0,0,8,1,0,8,0,0,1,0,2,99,1,0,5,0,0,0,1,11,0,13,3,0,1,3,68,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\photoview\src\main\java\com\github\chrisbanes\photoview\OnScaleChangedListener.java,com.github.chrisbanes.photoview.OnScaleChangedListener,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
